first_name,second_name,web_name,id,element_type,team_code,now_cost,minutes_fpl,play_chance,team,short_name,element_name,minutes_any_weighted,minutes_60_weighted,goals_weighted,assists_weighted,keeper_time,team_goals,team_assists,prop_goals,prop_assists,weighted_2026_goals,weighted_2026_clean_sheets,weighted_2026_concede_2,weighted_2026_concede_4,weighted_2026_games,weighted_2026_goals_against,next_goals,next_clean_sheet,next_concede_2,next_concede_4,goals_predict_2026,assists_predict_2026,play_predict_2026,goals_against_predict_2026,clean_sheets_predict_2026,concede_2_predict_2026,concede_4_predict_2026,player_goals_next,player_assists_next,player_clean_sheets_next,player_concede_2_next,player_concede_4_next,predicted_2026_points,predicted_next_week_points
David,Raya Martín,Raya,1,1,3,59,990,NA,Arsenal,ARS,GK,0.695472299705958,0.695472299705958,0,0,1.4378717893189918,2.224507617191115,1.9385431819569456,0,0,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,0,0,25.656557321328556,9.149721023922224,6.36681557431361,2.0809638005014994,0.09442453956942526,0,0,0.3463686648275734,0.10765437876727513,0.003944142603726799,48.948431278512075,2.664820737351208
Kepa,Arrizabalaga Revuelta,Arrizabalaga,2,1,3,42,0,NA,Arsenal,ARS,GK,0.304527700294042,0.304527700294042,0,0,1.4378717893189918,2.224507617191115,1.9385431819569456,0,0,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,0,0,11.234282662055415,4.006404716514422,2.7878489277887253,0.9111953428336411,0.04134584209688619,0,0,0.15166506703207974,0.04713881545885124,0.0017270287792231212,21.433137188279794,1.1668498244783287
Karl,Hein,Hein,3,1,3,40,0,0,Arsenal,ARS,GK,0,0,0,0,1.4378717893189918,2.224507617191115,1.9385431819569456,0,0,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy,Setford,Setford,4,1,3,40,0,NA,Arsenal,ARS,GK,0,0,0,0,1.4378717893189918,2.224507617191115,1.9385431819569456,0,0,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel,dos Santos Magalhães,Gabriel,5,2,3,65,990,0,Arsenal,ARS,DEF,0.8092100680111215,0.7724068897116774,0.06908328669781193,0.12461420393453969,1.4378717893189918,2.224507617191115,1.9385431819569456,0.031055540634670142,0.06428239777911088,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,1.0244400262538382,2.1205060328260323,29.17358905117917,10.646069405181603,7.071125934422766,2.311164337425853,0.10486997821784297,0.06371269749588426,0.13188000853665047,0.38468468579721415,0.11956332970073784,0.00438045184892622,0,0
William,Saliba,Saliba,6,2,3,60,724,100,Arsenal,ARS,DEF,0.9128451320750586,0.7450396093201805,0.020585549019403907,0,1.4378717893189918,2.224507617191115,1.9385431819569456,0.009253980009022073,0,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,0.3052642887437455,0,30.580380352852842,12.009505339124967,6.820587664103649,2.229277079174219,0.10115431211392048,0.01898521220041372,0,0.3710548570129875,0.11532706095165601,0.004225247311540796,57.36388535044177,3.136463134386475
Riccardo,Calafiori,Calafiori,7,2,3,58,856,75,Arsenal,ARS,DEF,0.7332003371436525,0.5652577058858771,0.056918212799738986,0.08661615185237363,1.4378717893189918,2.224507617191115,1.9385431819569456,0.025586881501268848,0.04468105361725048,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,0.8440434467159332,1.4739096085677086,23.95060394527014,9.646075828392433,5.174744654613241,1.6913410130070727,0.07674525446794915,0.052493346038659114,0.09166642714102928,0.28151740472476955,0.08749804585500719,0.0032056733256119086,39.2756143516851,2.1928374753022735
Jurriën,Timber,J.Timber,8,2,3,62,881,NA,Arsenal,ARS,DEF,0.8609363911688696,0.7802434629377767,0.08571790201058661,0.12851680463569332,1.4378717893189918,2.224507617191115,1.9385431819569456,0.03853342705961267,0.06629555938287457,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,1.2711156921393345,2.1869149017127163,30.272251690900866,11.326587416735396,7.142867133153863,2.334612611656741,0.10593395275570647,0.07905412469258401,0.13601015580343906,0.3885875636059999,0.1207763779021927,0.004424894398746466,70.59061251707803,3.952684051795527
Jakub,Kiwior,Kiwior,9,2,3,54,0,0,Arsenal,ARS,DEF,0.25994399061312595,0.2091786437654038,0.020527984838158417,0,1.4378717893189918,2.224507617191115,1.9385431819569456,0.009228102740362424,0,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,0.30441066619384616,0,8.653164018720942,3.419855825977168,1.914960304677052,0.625895791533097,0.02840026430047027,0.018932123104025835,0,0.10417802057982502,0.03237943043233585,0.0011862879384466336,0,0
Myles,Lewis-Skelly,Lewis-Skelly,10,2,3,51,86,NA,Arsenal,ARS,DEF,0.678152790571193,0.2177685520129412,0.013753154774573267,0,1.4378717893189918,2.224507617191115,1.9385431819569456,0.006182561331005631,0,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,0.20394632206726185,0,16.525645443484912,8.921863383982615,1.9935980327870988,0.651598164036376,0.029566519421717022,0.01268397367368186,0,0.10845608464067809,0.03370908976808151,0.0012350027802822334,25.042550823578786,1.3709054306405741
Benjamin,White,White,11,2,3,53,70,100,Arsenal,ARS,DEF,0.2640858705001232,0.1988965058328456,0,0.032495292503063884,1.4378717893189918,2.224507617191115,1.9385431819569456,0,0.01676273853763738,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,0,0.5529583435560068,8.539904380213205,3.4743469185722895,1.8208307815401417,0.59512999850516,0.027004254509021188,0,0.034389975760357114,0.09905716905377736,0.030787825458281542,0.0011279761720479659,16.859968284027612,0.9304651781988201
Brayden,Clarke,Clarke,13,2,3,38,0,NA,Arsenal,ARS,DEF,0,0,0,0,1.4378717893189918,2.224507617191115,1.9385431819569456,0,0,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldini,Kacurri,Kacurri,14,2,3,39,0,0,Arsenal,ARS,DEF,0,0,0,0,1.4378717893189918,2.224507617191115,1.9385431819569456,0,0,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh,Nichols,Nichols,15,2,3,39,0,NA,Arsenal,ARS,DEF,0,0,0,0,1.4378717893189918,2.224507617191115,1.9385431819569456,0,0,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bukayo,Saka,Saka,16,3,3,101,681,100,Arsenal,ARS,MID,0.7446340834446648,0.5237287210294718,0.19971829458020515,0.08694349363659241,1.4378717893189918,2.224507617191115,1.9385431819569456,0.08978089939399235,0.044849913298719284,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,2.96163406118889,1.479479842187277,23.39548463036575,9.796499632412802,4.794560731139962,1.567079681255553,0.07110684834378053,0.1841920368184442,0.09201285504358084,0.260834569416391,0.08106964163611577,0.0029701553351313024,47.43665519401199,2.726196123113491
Martin,Ødegaard,Ødegaard,17,3,3,78,201,50,Arsenal,ARS,MID,0.6782165002149115,0.3933859951023102,0.04781182256414204,0.20139353568225543,1.4378717893189918,2.224507617191115,1.9385431819569456,0.021493215934461043,0.10388911506162586,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,0.7090042628849748,3.4270267265096175,19.766158090271297,8.922701556066253,3.6013168049873223,1.1770735021053702,0.05341016669722238,0.04409489376324879,0.21313606608564475,0.19591949520212676,0.0608934747457099,0.002230959397877499,18.596788194606177,1.0637023287962635
Noni,Madueke,Madueke,18,3,3,68,304,50,Arsenal,ARS,MID,0.6162020216699395,0.3773449352723851,0.062281144749730004,0.057744900104063426,1.4378717893189918,2.224507617191115,1.9385431819569456,0.027997721504038894,0.029787781175846885,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,0.9235706726233879,0.9826199997227096,18.32639090226869,8.10683127860099,3.4544662839862075,1.1290760982664738,0.051232265881781314,0.05743935942848836,0.06111179687567807,0.1879305063120452,0.05841042785586339,0.0021399877984178404,14.673285274269983,0.826004825511923
Gabriel,Martinelli Silva,Martinelli,19,3,3,68,214,50,Arsenal,ARS,MID,0.7881609219537653,0.37166184786115736,0.14572954740539037,0.04649776640828815,1.4378717893189918,2.224507617191115,1.9385431819569456,0.06551092308211694,0.023985932756653366,32.987351220353965,9.154664502102335,2.99215914333514,0.13577038166631145,18.445419991691985,13.156125740436645,2.051572640302257,0.4980337318596531,0.15479319422612636,0.00567117138294992,2.161031828479385,0.7912323881915175,21.393418105163747,10.369144192922208,3.402439525400296,1.1120713963065958,0.050460670934915915,0.13440041743621672,0.04920888339567975,0.18510013708014683,0.05753072460241316,0.0021077580357244828,18.98735696876776,1.0822758221315962
